planet_type,total_time_span,temp_initial,temp_final,temp_mean,temp_std,temp_range,temp_trend,temp_volatility,temp_max_rate_change,co2_initial,co2_final,co2_mean,co2_std,co2_range,co2_trend,co2_volatility,temp_co2_correlation,cooling_rate,atmosphere_loss_rate,climate_stability_index,major_temp_regimes,major_co2_regimes,climate_cluster,physics_pattern
Lava World,1000000000.0,1956.359841444116,1496.623426988347,1550.011516388278,111.26220349996406,688.9715190067934,-2.4211914298495925e-07,72.37857804368308,271.3437568484469,0.99,0.9567667641618306,0.9710817884365888,0.011090731141969,0.0332332358381693,-3.7599838841319134e-11,2.120189485377364e-05,0.6861275322607432,4.597364144557689e-07,3.3233235838169395e-11,0.0089868823144768,141,728,0,Gradual_Evolution
Hycean World,1000000000.0,425.5798911283625,327.1473223243897,418.4431317698112,70.12144143576347,279.47712741254395,-1.820693238367496e-08,28.22226659696192,97.6303535142274,0.1,0.8946096424007316,0.740833966850903,0.1973797820195123,0.7946096424007316,5.856848425604533e-10,0.0009856124437476,-0.2589519740927791,9.84325688039728e-08,-7.946096424007315e-10,0.0142209437342741,82,371,1,Cooling_Atmospheric_Buildup
Super-Earth,1000000000.0,1032.3991660012523,857.9791163959285,858.1476371060094,58.9162038598908,302.8319230369549,-1.6190479326335618e-07,41.34942459300304,151.27788861283216,0.8999999999999999,0.7164169997247797,0.7734680136945794,0.0506292004397175,0.1835830002752202,-1.6697144376708683e-10,0.0001265241154114,0.8638647466432972,1.744200496053238e-07,1.8358300027522023e-10,0.0169586858933932,22,671,2,Runaway_Cooling_Atmospheric_Loss
Sub-Neptune,1000000000.0,1240.2768347088452,1391.2203354912256,1354.206466576346,79.014222806706,477.1590743199167,2.3128146312720307e-07,56.50621377144633,189.60052698000663,0.3,0.01,0.4533795050561631,0.3354302659809586,0.8899998196986698,-1.117742108876088e-10,0.0040336922971619,-0.1645767530379238,-1.509435007823804e-07,2.9e-10,0.0126024495542873,77,407,3,Stable_Warming
