planet_type,regime_id,start_time,end_time,duration,avg_temp,avg_co2,temp_std,co2_std
Lava World,R46,189189189.1891892,246246246.24624625,57057057.05705705,1559.9620529584788,0.982367315396302,58.81670003303759,0.0010941369718132405
Lava World,R53,356356356.3563563,452452452.4524524,96096096.0960961,1507.4191396699803,0.9723044195253527,48.560807589918895,0.001256397967264268
Lava World,R56,510510510.5105105,614614614.6146146,104104104.1041041,1502.721991392659,0.9662604896315606,49.38898745232996,0.000991049130274927
Lava World,R57,614614614.6146146,683683683.6836836,69069069.06906903,1506.5058283714973,0.9636609679075511,51.03609682246917,0.0005564964619890638
Hycean World,R10,66066066.066066064,311311311.3113113,245245245.24524525,474.1706746069841,0.5685252150542587,33.17620643579577,0.11660540889058471
Hycean World,R14,334334334.3343343,388388388.3883884,54054054.05405408,357.18752830055394,0.7682430102766585,26.572645486446696,0.010558165084870313
Hycean World,R15,388388388.3883884,440440440.4404404,52052052.05205202,315.8691395349568,0.798964817568563,23.873585465099847,0.007804883213778645
Hycean World,R16,440440440.4404404,892892892.8928928,452452452.4524524,412.9016831402051,0.8649430848601704,78.0188153445652,0.022075488330522672
Hycean World,R17,892892892.8928928,952952952.952953,60060060.06006014,415.2699923175262,0.8920443938013608,27.176545297748564,0.0007063346826875835
Super-Earth,R7,19019019.01901902,241241241.24124125,222222222.22222224,935.1747184579335,0.8463402616302564,36.17703637252623,0.023566893087379994
Super-Earth,R8,241241241.24124125,369369369.3693694,128128128.12812814,866.909018401337,0.7936338863350593,29.769665030659585,0.008751989423962648
Sub-Neptune,R19,146146146.14614615,203203203.2032032,57057057.05705705,1268.9126844683203,0.882476950476179,35.568992540358096,0.019110231265747693
Sub-Neptune,R33,430430430.4304304,568568568.5685686,138138138.13813818,1372.8226303796514,0.01,40.81920079452052,6.963989442979144e-18
Sub-Neptune,R45,745745745.7457458,828828828.8288288,83083083.08308303,1423.4463877655473,0.882378717002392,41.45883744744955,0.015930054390818342
Sub-Neptune,R47,838838838.8388388,942942942.942943,104104104.10410416,1429.2212751332975,0.5825391021115114,37.68024197745715,0.1552347717984145
